MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@17281, Channel 9, Note on:  E2
@17294, Channel 5, Note off: D#4
@17320, Channel 9, Note off: D#2
@17358, Channel 9, Note off: E2
@17383, Channel 1, Note off: D#2
@17456, Channel 0, Note off: A#4
@17471, Channel 0, Note off: F#4
@17473, Channel 0, Note off: D#5
@17497, Channel 5, Note on:  D#4
@17499, Channel 5, Note off: A#4
@17500, Channel 5, Note off: F#4
@17515, Channel 9, Note on:  D#2
@17517, Channel 9, Note on:  C2
@17569, Channel 9, Note off: D#2
@17576, Channel 9, Note off: C2
@17662, Channel 2, Note off: D#3
@17662, Channel 5, Note on:  F#4
@17664, Channel 0, Note on:  F#4
@17664, Channel 0, Note on:  D#5
@17664, Channel 0, Note on:  A#4
@17664, Channel 5, Note on:  A#4
@17665, Channel 2, Note on:  B2
@17670, Channel 9, Note on:  C2
@17682, Channel 5, Note off: D#4
@17767, Channel 9, Note off: C2
@17859, Channel 0, Note off: A#4
@17869, Channel 0, Note off: F#4
@17869, Channel 5, Note off: F#4
@17872, Channel 0, Note off: D#5
@17878, Channel 5, Note off: A#4
@17895, Channel 5, Note on:  D#4
@17910, Channel 1, Note on:  G#1
@18029, Channel 2, Note on:  A#2
@18047, Channel 9, Note on:  D#2
@18048, Channel 0, Note on:  F#4
@18048, Channel 0, Note on:  D#5
@18048, Channel 0, Note on:  A#4
@18048, Channel 9, Note on:  E2
@18050, Channel 1, Note on:  A#1
@18051, Channel 5, Note on:  F#4
@18053, Channel 5, Note on:  A#4
@18058, Channel 1, Note off: G#1
@18064, Channel 5, Note off: D#4
@18064, Channel 2, Note off: B2
@18104, Channel 9, Note off: E2
@18105, Channel 9, Note off: D#2
@18205, Channel 0, Note off: A#4
@18226, Channel 0, Note off: F#4
@18227, Channel 0, Note off: D#5
@18262, Channel 5, Note off: A#4
@18267, Channel 5, Note off: F#4
@18275, Channel 3, Note on:  D#4
@18286, Channel 5, Note on:  D#4
@18365, Channel 3, Note off: D#4
@18386, Channel 1, Note off: A#1
@18392, Channel 5, Note off: D#4
@18427, Channel 3, Note on:  F#4
@18432, Channel 2, Note off: A#2
@18432, Channel 0, Note on:  D#5
@18432, Channel 0, Note on:  F#4
@18432, Channel 0, Note on:  A#4
@18437, Channel 1, Note on:  D#2
@18438, Channel 9, Note on:  C2
@18545, Channel 9, Note off: C2
@18588, Channel 0, Note off: A#4
@18600, Channel 0, Note off: F#4
@18606, Channel 0, Note off: D#5
@18663, Channel 3, Note on:  F4
@18675, Channel 3, Note off: F#4
@18766, Channel 1, Note off: D#2
@18804, Channel 3, Note on:  D#4
@18810, Channel 9, Note on:  D#2
@18814, Channel 3, Note off: F4
@18816, Channel 0, Note on:  D#5
@18816, Channel 0, Note on:  F#4
@18816, Channel 0, Note on:  A#4
@18817, Channel 9, Note on:  E2
@18861, Channel 9, Note off: D#2
@18894, Channel 9, Note off: E2
@18951, Channel 0, Note off: A#4
@18972, Channel 0, Note off: D#5
@18973, Channel 0, Note off: F#4
@19046, Channel 3, Note on:  F4
@19048, Channel 9, Note on:  D#2
@19053, Channel 9, Note on:  C2
@19065, Channel 3, Note off: D#4
@19112, Channel 9, Note off: C2
@19166, Channel 9, Note off: D#2
@19188, Channel 3, Note on:  F#4
@19195, Channel 3, Note off: F4
@19200, Channel 0, Note on:  D#5
@19200, Channel 0, Note on:  F#4
@19200, Channel 0, Note on:  A#4
@19206, Channel 9, Note on:  C2
@19303, Channel 9, Note off: C2
@19347, Channel 0, Note off: A#4
@19358, Channel 0, Note off: D#5
@19364, Channel 0, Note off: F#4
@19584, Channel 0, Note on:  D#5
@19584, Channel 0, Note on:  F#4
@19584, Channel 0, Note on:  A#4
@19584, Channel 9, Note on:  E2
@19608, Channel 9, Note on:  D#2
@19640, Channel 9, Note off: E2
@19668, Channel 3, Note off: F#4
@19744, Channel 0, Note off: A#4
@19745, Channel 0, Note off: D#5
@19762, Channel 0, Note off: F#4
@19777, Channel 9, Note off: D#2
@19965, Channel 1, Note on:  D#2
@19968, Channel 0, Note on:  D#5
@19968, Channel 0, Note on:  F#4
@19968, Channel 0, Note on:  A#4
@19974, Channel 9, Note on:  C2
@20081, Channel 9, Note off: C2
@20122, Channel 0, Note off: D#5
@20124, Channel 0, Note off: A#4
@20132, Channel 0, Note off: F#4
@20341, Channel 9, Note on:  D#2
@20352, Channel 0, Note on:  D#5
@20352, Channel 0, Note on:  F#4
@20352, Channel 0, Note on:  A#4
@20352, Channel 3, Note on:  D#4
@20353, Channel 9, Note on:  E2
@20390, Channel 1, Note off: D#2
@20400, Channel 9, Note off: D#2
@20430, Channel 9, Note off: E2
@20492, Channel 0, Note off: A#4
@20502, Channel 0, Note off: D#5
@20506, Channel 0, Note off: F#4
@20571, Channel 3, Note on:  F4
@20580, Channel 3, Note off: D#4
@20581, Channel 2, Note on:  A#2
@20589, Channel 9, Note on:  C2
@20590, Channel 9, Note on:  D#2
@20648, Channel 9, Note off: C2
@20700, Channel 9, Note off: D#2
@20736, Channel 0, Note on:  D#5
@20736, Channel 0, Note on:  F#4
@20736, Channel 0, Note on:  A#4
@20738, Channel 2, Note on:  B2
@20742, Channel 9, Note on:  C2
@20743, Channel 3, Note on:  F#4
@20758, Channel 2, Note off: A#2
@20766, Channel 3, Note off: F4
@20839, Channel 9, Note off: C2
@20871, Channel 0, Note off: A#4
@20880, Channel 0, Note off: D#5
@20888, Channel 0, Note off: F#4
@20955, Channel 3, Note on:  F4
@20956, Channel 2, Note on:  A#2
@20959, Channel 2, Note off: B2
